Tipo Titulo,Data Vencimento,Data Base,PU Base Manha,Juros
Tesouro Selic,2009-03-18,2004-12-31,2120.22,0.54311400099884
Tesouro Prefixado,2005-01-04,2004-12-31,998.7,12.612605856868761
Tesouro Prefixado,2006-07-01,2004-12-31,783.64,17.67978127531415
Tesouro Prefixado,2005-04-01,2004-12-31,959.29,18.153957244078057
Tesouro Prefixado,2005-07-01,2004-12-31,918.82,18.520004232422078
Tesouro Prefixado,2005-10-01,2004-12-31,879.7,18.63248130882113
Tesouro Prefixado,2006-01-01,2004-12-31,845.95,18.16977848402827
Tesouro Selic,2005-02-16,2004-12-31,2161.34,7.7080370479855
Tesouro Selic,2006-01-18,2004-12-31,2157.78,1.0248918568261
Tesouro Selic,2007-01-17,2004-12-31,2148.28,0.67391798847855
Tesouro Selic,2008-06-18,2004-12-31,2131.25,0.5567149039639601
Tesouro Selic,2007-01-17,2005-01-03,2149.7,1.12320805178252
Tesouro Selic,2006-01-18,2005-01-03,2159.19,1.9128174748192999
Tesouro Selic,2005-02-16,2005-01-03,2162.74,16.67581507428939
Tesouro Prefixado,2006-01-01,2005-01-03,846.51,18.25417117161103
Tesouro Prefixado,2005-10-01,2005-01-03,880.29,18.74972510867953
Tesouro Prefixado,2005-01-04,2005-01-03,999.35,26.80619261933279
Tesouro Prefixado,2005-04-01,2005-01-03,959.94,18.49420734081599
Tesouro Prefixado,2006-07-01,2005-01-03,784.15,17.7340390554912
Tesouro Selic,2008-06-18,2005-01-03,2132.67,0.82065393480228
Tesouro Prefixado,2005-07-01,2005-01-03,919.44,18.69450593952708
Tesouro Selic,2009-03-18,2005-01-03,2121.64,0.7599475568887
Tesouro Selic,2006-01-18,2005-01-04,2160.83,1.8664738371440799
Tesouro Selic,2009-03-18,2005-01-04,2124.82,0.73565680961475
Tesouro Selic,2007-01-17,2005-01-04,2151.99,1.08821779946555
Tesouro Selic,2005-02-16,2005-01-04,2164.15,16.648659986170912
Tesouro Selic,2008-06-18,2005-01-04,2134.08,0.80799178744044
Tesouro Prefixado,2006-07-01,2005-01-04,783.87,17.79773733338465
Tesouro Prefixado,2005-07-01,2005-01-04,919.92,18.68167115697705
Tesouro Prefixado,2005-10-01,2005-01-04,880.39,18.80707232600604
Tesouro Prefixado,2006-01-01,2005-01-04,846.64,18.290625975231407
Tesouro Prefixado,2005-04-01,2005-01-04,960.52,18.42486748164709
Tesouro Prefixado,2005-04-01,2005-01-05,961.13,18.33845145661494
Tesouro Prefixado,2006-07-01,2005-01-05,784.38,17.78170704180683
Tesouro Prefixado,2006-01-01,2005-01-05,847.07,18.28489659054624
Tesouro Prefixado,2005-10-01,2005-01-05,881.15,18.7440035415128
Tesouro Prefixado,2005-07-01,2005-01-05,920.69,18.59163975743196
Tesouro Selic,2009-03-18,2005-01-05,2127.12,0.7182251432122
Tesouro Selic,2008-06-18,2005-01-05,2136.23,0.78833577430412
Tesouro Selic,2007-01-17,2005-01-05,2153.84,1.06019487560098
Tesouro Selic,2006-01-18,2005-01-05,2162.24,1.8271656809954102
Tesouro Selic,2005-02-16,2005-01-05,2165.53,16.63020949441505
Tesouro Selic,2007-01-17,2005-01-06,2155.69,1.03212946496336
Tesouro Selic,2005-02-16,2005-01-06,2166.93,16.60453815012659
Tesouro Selic,2008-06-18,2005-01-06,2138.37,0.7687671315379
Tesouro Selic,2006-01-18,2005-01-06,2163.65,1.7876932150509801
Tesouro Selic,2009-03-18,2005-01-06,2128.53,0.70771793765083
Tesouro Prefixado,2005-04-01,2005-01-06,961.76,18.23970581818714
Tesouro Prefixado,2005-10-01,2005-01-06,881.53,18.75034763933116
Tesouro Prefixado,2006-01-01,2005-01-06,847.28,18.31032622656161
Tesouro Prefixado,2006-07-01,2005-01-06,784.11,17.844731911812662
Tesouro Prefixado,2005-07-01,2005-01-06,921.13,18.58894697371176
Tesouro Selic,2008-06-18,2005-01-07,2139.8,0.75588699179822
Tesouro Selic,2005-02-16,2005-01-07,2168.34,16.57450881572952
Tesouro Selic,2006-01-18,2005-01-07,2165.07,1.74774020439123
Tesouro Selic,2007-01-17,2005-01-07,2157.54,1.00402136005155
Tesouro Selic,2009-03-18,2005-01-07,2129.95,0.69712756062287
Tesouro Prefixado,2006-01-01,2005-01-07,846.79,18.43543672165355
Tesouro Prefixado,2005-07-01,2005-01-07,921.35,18.64538723894748
Tesouro Prefixado,2005-10-01,2005-01-07,881.36,18.8581601213573
Tesouro Prefixado,2006-07-01,2005-01-07,783.15,17.97828936307337
Tesouro Prefixado,2005-04-01,2005-01-07,962.31,18.18162583684641
